population,Country,Year,region
1648838,Central African Rep.,1965,Sub-Saharan Africa
1682880,Central African Rep.,1966,Sub-Saharan Africa
1718560,Central African Rep.,1967,Sub-Saharan Africa
1755258,Central African Rep.,1968,Sub-Saharan Africa
1792147,Central African Rep.,1969,Sub-Saharan Africa
1828709,Central African Rep.,1970,Sub-Saharan Africa
1864764,Central African Rep.,1971,Sub-Saharan Africa
1900723,Central African Rep.,1972,Sub-Saharan Africa
1937410,Central African Rep.,1973,Sub-Saharan Africa
1975985,Central African Rep.,1974,Sub-Saharan Africa
2017362,Central African Rep.,1975,Sub-Saharan Africa
2061466,Central African Rep.,1976,Sub-Saharan Africa
2108232,Central African Rep.,1977,Sub-Saharan Africa
2158547,Central African Rep.,1978,Sub-Saharan Africa
2213492,Central African Rep.,1979,Sub-Saharan Africa
2273630,Central African Rep.,1980,Sub-Saharan Africa
2339759,Central African Rep.,1981,Sub-Saharan Africa
2411176,Central African Rep.,1982,Sub-Saharan Africa
2485120,Central African Rep.,1983,Sub-Saharan Africa
2557808,Central African Rep.,1984,Sub-Saharan Africa
2626638,Central African Rep.,1985,Sub-Saharan Africa
2690250,Central African Rep.,1986,Sub-Saharan Africa
2749702,Central African Rep.,1987,Sub-Saharan Africa
2807768,Central African Rep.,1988,Sub-Saharan Africa
2868515,Central African Rep.,1989,Sub-Saharan Africa
2934777,Central African Rep.,1990,Sub-Saharan Africa
3007347,Central African Rep.,1991,Sub-Saharan Africa
3084958,Central African Rep.,1992,Sub-Saharan Africa
3165869,Central African Rep.,1993,Sub-Saharan Africa
3247456,Central African Rep.,1994,Sub-Saharan Africa
3327710,Central African Rep.,1995,Sub-Saharan Africa
3406451,Central African Rep.,1996,Sub-Saharan Africa
3484027,Central African Rep.,1997,Sub-Saharan Africa
3559604,Central African Rep.,1998,Sub-Saharan Africa
3632287,Central African Rep.,1999,Sub-Saharan Africa
3701607,Central African Rep.,2000,Sub-Saharan Africa
3767068,Central African Rep.,2001,Sub-Saharan Africa
3829238,Central African Rep.,2002,Sub-Saharan Africa
3890075,Central African Rep.,2003,Sub-Saharan Africa
3952281,Central African Rep.,2004,Sub-Saharan Africa
4017880,Central African Rep.,2005,Sub-Saharan Africa
4087534,Central African Rep.,2006,Sub-Saharan Africa
4160940,Central African Rep.,2007,Sub-Saharan Africa
4237961,Central African Rep.,2008,Sub-Saharan Africa
4318128,Central African Rep.,2009,Sub-Saharan Africa
4401051,Central African Rep.,2010,Sub-Saharan Africa
4486837,Central African Rep.,2011,Sub-Saharan Africa
4575586,Central African Rep.,2012,Sub-Saharan Africa
4666833,Central African Rep.,2013,Sub-Saharan Africa
3219259,Chad,1964,Sub-Saharan Africa
3288547,Chad,1965,Sub-Saharan Africa
3357972,Chad,1966,Sub-Saharan Africa
3427888,Chad,1967,Sub-Saharan Africa
3499681,Chad,1968,Sub-Saharan Africa
3575273,Chad,1969,Sub-Saharan Africa
3655905,Chad,1970,Sub-Saharan Africa
3742580,Chad,1971,Sub-Saharan Africa
3834574,Chad,1972,Sub-Saharan Africa
3929341,Chad,1973,Sub-Saharan Africa
4023300,Chad,1974,Sub-Saharan Africa
4114094,Chad,1975,Sub-Saharan Africa
4201073,Chad,1976,Sub-Saharan Africa
4285738,Chad,1977,Sub-Saharan Africa
4370560,Chad,1978,Sub-Saharan Africa
4459072,Chad,1979,Sub-Saharan Africa
4554089,Chad,1980,Sub-Saharan Africa
4656116,Chad,1981,Sub-Saharan Africa
4765160,Chad,1982,Sub-Saharan Africa
4882913,Chad,1983,Sub-Saharan Africa
5011242,Chad,1984,Sub-Saharan Africa
5151339,Chad,1985,Sub-Saharan Africa
5304490,Chad,1986,Sub-Saharan Africa
5470211,Chad,1987,Sub-Saharan Africa
5645708,Chad,1988,Sub-Saharan Africa
5826974,Chad,1989,Sub-Saharan Africa
6011224,Chad,1990,Sub-Saharan Africa
6197766,Chad,1991,Sub-Saharan Africa
6387856,Chad,1992,Sub-Saharan Africa
6583079,Chad,1993,Sub-Saharan Africa
6785842,Chad,1994,Sub-Saharan Africa
6998108,Chad,1995,Sub-Saharan Africa
7219081,Chad,1996,Sub-Saharan Africa
7448585,Chad,1997,Sub-Saharan Africa
7689836,Chad,1998,Sub-Saharan Africa
7946982,Chad,1999,Sub-Saharan Africa
8222327,Chad,2000,Sub-Saharan Africa
8517944,Chad,2001,Sub-Saharan Africa
8831199,Chad,2002,Sub-Saharan Africa
9153893,Chad,2003,Sub-Saharan Africa
9474792,Chad,2004,Sub-Saharan Africa
9785902,Chad,2005,Sub-Saharan Africa
10084087,Chad,2006,Sub-Saharan Africa
10371839,Chad,2007,Sub-Saharan Africa
10653762,Chad,2008,Sub-Saharan Africa
10937089,Chad,2009,Sub-Saharan Africa
11227208,Chad,2010,Sub-Saharan Africa
11525496,Chad,2011,Sub-Saharan Africa
11830573,Chad,2012,Sub-Saharan Africa
12141876,Chad,2013,Sub-Saharan Africa
113765,Channel Islands,1964,Europe & Central Asia
114974,Channel Islands,1965,Europe & Central Asia
116200,Channel Islands,1966,Europe & Central Asia
117437,Channel Islands,1967,Europe & Central Asia
118676,Channel Islands,1968,Europe & Central Asia
119910,Channel Islands,1969,Europe & Central Asia
121126,Channel Islands,1970,Europe & Central Asia
122338,Channel Islands,1971,Europe & Central Asia
123534,Channel Islands,1972,Europe & Central Asia
124649,Channel Islands,1973,Europe & Central Asia
125599,Channel Islands,1974,Europe & Central Asia
126335,Channel Islands,1975,Europe & Central Asia
126821,Channel Islands,1976,Europe & Central Asia
127101,Channel Islands,1977,Europe & Central Asia
127299,Channel Islands,1978,Europe & Central Asia
127585,Channel Islands,1979,Europe & Central Asia
128085,Channel Islands,1980,Europe & Central Asia
128828,Channel Islands,1981,Europe & Central Asia
129777,Channel Islands,1982,Europe & Central Asia
130905,Channel Islands,1983,Europe & Central Asia
132156,Channel Islands,1984,Europe & Central Asia
133482,Channel Islands,1985,Europe & Central Asia
134898,Channel Islands,1986,Europe & Central Asia
136394,Channel Islands,1987,Europe & Central Asia
137856,Channel Islands,1988,Europe & Central Asia
139136,Channel Islands,1989,Europe & Central Asia
140137,Channel Islands,1990,Europe & Central Asia
140804,Channel Islands,1991,Europe & Central Asia
141179,Channel Islands,1992,Europe & Central Asia
141384,Channel Islands,1993,Europe & Central Asia
141594,Channel Islands,1994,Europe & Central Asia
141934,Channel Islands,1995,Europe & Central Asia
142448,Channel Islands,1996,Europe & Central Asia
143102,Channel Islands,1997,Europe & Central Asia
143847,Channel Islands,1998,Europe & Central Asia
144607,Channel Islands,1999,Europe & Central Asia
145330,Channel Islands,2000,Europe & Central Asia
145995,Channel Islands,2001,Europe & Central Asia
146626,Channel Islands,2002,Europe & Central Asia
147262,Channel Islands,2003,Europe & Central Asia
147963,Channel Islands,2004,Europe & Central Asia
148763,Channel Islands,2005,Europe & Central Asia
149682,Channel Islands,2006,Europe & Central Asia
150689,Channel Islands,2007,Europe & Central Asia
151705,Channel Islands,2008,Europe & Central Asia
152618,Channel Islands,2009,Europe & Central Asia
153352,Channel Islands,2010,Europe & Central Asia
153876,Channel Islands,2011,Europe & Central Asia
154218,Channel Islands,2012,Europe & Central Asia
154432,Channel Islands,2013,Europe & Central Asia
8457066,Chile,1964,America
8655738,Chile,1965,America
8849016,Chile,1966,America
9037026,Chile,1967,America
9220343,Chile,1968,America
9400225,Chile,1969,America
9577572,Chile,1970,America
9752949,Chile,1971,America
9925950,Chile,1972,America
10095485,Chile,1973,America
10260027,Chile,1974,America
10418880,Chile,1975,America
10571597,Chile,1976,America
10719748,Chile,1977,America
10867152,Chile,1978,America
11018910,Chile,1979,America
11178817,Chile,1980,America
11348442,Chile,1981,America
11527274,Chile,1982,America
11714442,Chile,1983,America
11908189,Chile,1984,America
12107225,Chile,1985,America
12310666,Chile,1986,America
12518930,Chile,1987,America
12733409,Chile,1988,America
12956088,Chile,1989,America
13187821,Chile,1990,America
13429315,Chile,1991,America
13678373,Chile,1992,America
13929390,Chile,1993,America
14174890,Chile,1994,America
14409416,Chile,1995,America
14630769,Chile,1996,America
14840038,Chile,1997,America
15039162,Chile,1998,America
15231557,Chile,1999,America
15419820,Chile,2000,America
15604200,Chile,2001,America
15783991,Chile,2002,America
15959793,Chile,2003,America
16132209,Chile,2004,America
16301726,Chile,2005,America
16468677,Chile,2006,America
16633254,Chile,2007,America
16795593,Chile,2008,America
16955737,Chile,2009,America
17113688,Chile,2010,America
17269525,Chile,2011,America
17423214,Chile,2012,America
17574464,Chile,2013,America
696171650,China,1964,East Asia & Pacific
710290299,China,1965,East Asia & Pacific
727601056,China,1966,East Asia & Pacific
747678772,China,1967,East Asia & Pacific
769666505,China,1968,East Asia & Pacific
792308749,China,1969,East Asia & Pacific
814622841,China,1970,East Asia & Pacific
836431505,China,1971,East Asia & Pacific
857804035,China,1972,East Asia & Pacific
878305091,China,1973,East Asia & Pacific
897479153,China,1974,East Asia & Pacific
915040954,China,1975,East Asia & Pacific
930744699,China,1976,East Asia & Pacific
944726607,China,1977,East Asia & Pacific
957584105,China,1978,East Asia & Pacific
970179212,China,1979,East Asia & Pacific
983170638,China,1980,East Asia & Pacific
996667562,China,1981,East Asia & Pacific
1010574797,China,1982,East Asia & Pacific
1025090475,China,1983,East Asia & Pacific
1040397958,China,1984,East Asia & Pacific
1056579219,China,1985,East Asia & Pacific
1073792041,China,1986,East Asia & Pacific
1091904967,China,1987,East Asia & Pacific
1110339206,China,1988,East Asia & Pacific
1128297564,China,1989,East Asia & Pacific
1145195229,China,1990,East Asia & Pacific
1160799514,China,1991,East Asia & Pacific
1175230312,China,1992,East Asia & Pacific
1188687527,China,1993,East Asia & Pacific
1201522570,China,1994,East Asia & Pacific
1213986610,China,1995,East Asia & Pacific
1226134423,China,1996,East Asia & Pacific
1237849861,China,1997,East Asia & Pacific
1249020152,China,1998,East Asia & Pacific
1259476966,China,1999,East Asia & Pacific
1269116737,China,2000,East Asia & Pacific
1277903627,China,2001,East Asia & Pacific
1285933789,China,2002,East Asia & Pacific
1293396654,China,2003,East Asia & Pacific
1300552134,China,2004,East Asia & Pacific
1307593489,China,2005,East Asia & Pacific
1314581402,China,2006,East Asia & Pacific
1321481935,China,2007,East Asia & Pacific
1328275524,China,2008,East Asia & Pacific
1334908820,China,2009,East Asia & Pacific
1341335152,China,2010,East Asia & Pacific
1347565324,China,2011,East Asia & Pacific
1353600687,China,2012,East Asia & Pacific
1359368470,China,2013,East Asia & Pacific
18019927,Colombia,1964,America
18555731,Colombia,1965,America
19104020,Colombia,1966,America
19663029,Colombia,1967,America
20225830,Colombia,1968,America
20783427,Colombia,1969,America
21329811,Colombia,1970,America
21861689,Colombia,1971,America
22381887,Colombia,1972,America
22898136,Colombia,1973,America
23421644,Colombia,1974,America
23960605,Colombia,1975,America
24517307,Colombia,1976,America
25089511,Colombia,1977,America
25675364,Colombia,1978,America
26271401,Colombia,1979,America
26874906,Colombia,1980,America
27485678,Colombia,1981,America
28104254,Colombia,1982,America
28729367,Colombia,1983,America
29359535,Colombia,1984,America
29993539,Colombia,1985,America
30630754,Colombia,1986,America
31270841,Colombia,1987,America
31913250,Colombia,1988,America
32557521,Colombia,1989,America
33203321,Colombia,1990,America
33849971,Colombia,1991,America
34497319,Colombia,1992,America
35146220,Colombia,1993,America
35797965,Colombia,1994,America
36453337,Colombia,1995,America
37112621,Colombia,1996,America
37775054,Colombia,1997,America
38439099,Colombia,1998,America
39102653,Colombia,1999,America
39764166,Colombia,2000,America
40422597,Colombia,2001,America
41078136,Colombia,2002,America
41731914,Colombia,2003,America
42385712,Colombia,2004,America
43040558,Colombia,2005,America
43696540,Colombia,2006,America
44352327,Colombia,2007,America
45005782,Colombia,2008,America
45654044,Colombia,2009,America
46294841,Colombia,2010,America
46927125,Colombia,2011,America
47550708,Colombia,2012,America
48165221,Colombia,2013,America
207856,Comoros,1964,Sub-Saharan Africa
212097,Comoros,1965,Sub-Saharan Africa
216728,Comoros,1966,Sub-Saharan Africa
221755,Comoros,1967,Sub-Saharan Africa
227075,Comoros,1968,Sub-Saharan Africa
232529,Comoros,1969,Sub-Saharan Africa
238032,Comoros,1970,Sub-Saharan Africa
243481,Comoros,1971,Sub-Saharan Africa
249000,Comoros,1972,Sub-Saharan Africa
254997,Comoros,1973,Sub-Saharan Africa
262030,Comoros,1974,Sub-Saharan Africa
270467,Comoros,1975,Sub-Saharan Africa
280464,Comoros,1976,Sub-Saharan Africa
291816,Comoros,1977,Sub-Saharan Africa
304071,Comoros,1978,Sub-Saharan Africa
316582,Comoros,1979,Sub-Saharan Africa
328861,Comoros,1980,Sub-Saharan Africa
340778,Comoros,1981,Sub-Saharan Africa
352416,Comoros,1982,Sub-Saharan Africa
363759,Comoros,1983,Sub-Saharan Africa
374852,Comoros,1984,Sub-Saharan Africa
385740,Comoros,1985,Sub-Saharan Africa
396391,Comoros,1986,Sub-Saharan Africa
406798,Comoros,1987,Sub-Saharan Africa
417077,Comoros,1988,Sub-Saharan Africa
427392,Comoros,1989,Sub-Saharan Africa
437876,Comoros,1990,Sub-Saharan Africa
448576,Comoros,1991,Sub-Saharan Africa
459515,Comoros,1992,Sub-Saharan Africa
470765,Comoros,1993,Sub-Saharan Africa
482401,Comoros,1994,Sub-Saharan Africa
494486,Comoros,1995,Sub-Saharan Africa
507062,Comoros,1996,Sub-Saharan Africa
520151,Comoros,1997,Sub-Saharan Africa
533754,Comoros,1998,Sub-Saharan Africa
547864,Comoros,1999,Sub-Saharan Africa
562469,Comoros,2000,Sub-Saharan Africa
577569,Comoros,2001,Sub-Saharan Africa
593170,Comoros,2002,Sub-Saharan Africa
609271,Comoros,2003,Sub-Saharan Africa
625876,Comoros,2004,Sub-Saharan Africa
642974,Comoros,2005,Sub-Saharan Africa
660559,Comoros,2006,Sub-Saharan Africa
678602,Comoros,2007,Sub-Saharan Africa
697034,Comoros,2008,Sub-Saharan Africa
715774,Comoros,2009,Sub-Saharan Africa
734750,Comoros,2010,Sub-Saharan Africa
753943,Comoros,2011,Sub-Saharan Africa
773344,Comoros,2012,Sub-Saharan Africa
792913,Comoros,2013,Sub-Saharan Africa
17065408,"Congo, Dem. Rep.",1964,Sub-Saharan Africa
17543319,"Congo, Dem. Rep.",1965,Sub-Saharan Africa
18048341,"Congo, Dem. Rep.",1966,Sub-Saharan Africa
18579012,"Congo, Dem. Rep.",1967,Sub-Saharan Africa
19130171,"Congo, Dem. Rep.",1968,Sub-Saharan Africa
19694467,"Congo, Dem. Rep.",1969,Sub-Saharan Africa
20267009,"Congo, Dem. Rep.",1970,Sub-Saharan Africa
20845085,"Congo, Dem. Rep.",1971,Sub-Saharan Africa
21431338,"Congo, Dem. Rep.",1972,Sub-Saharan Africa
22032669,"Congo, Dem. Rep.",1973,Sub-Saharan Africa
22658905,"Congo, Dem. Rep.",1974,Sub-Saharan Africa
23316776,"Congo, Dem. Rep.",1975,Sub-Saharan Africa
24011465,"Congo, Dem. Rep.",1976,Sub-Saharan Africa
24740389,"Congo, Dem. Rep.",1977,Sub-Saharan Africa
25493382,"Congo, Dem. Rep.",1978,Sub-Saharan Africa
26255837,"Congo, Dem. Rep.",1979,Sub-Saharan Africa
27018690,"Congo, Dem. Rep.",1980,Sub-Saharan Africa
27781042,"Congo, Dem. Rep.",1981,Sub-Saharan Africa
28551259,"Congo, Dem. Rep.",1982,Sub-Saharan Africa
29341286,"Congo, Dem. Rep.",1983,Sub-Saharan Africa
30167580,"Congo, Dem. Rep.",1984,Sub-Saharan Africa
31044153,"Congo, Dem. Rep.",1985,Sub-Saharan Africa
31963766,"Congo, Dem. Rep.",1986,Sub-Saharan Africa
32927332,"Congo, Dem. Rep.",1987,Sub-Saharan Africa
33965482,"Congo, Dem. Rep.",1988,Sub-Saharan Africa
35117790,"Congo, Dem. Rep.",1989,Sub-Saharan Africa
36406226,"Congo, Dem. Rep.",1990,Sub-Saharan Africa
37856212,"Congo, Dem. Rep.",1991,Sub-Saharan Africa
39443819,"Congo, Dem. Rep.",1992,Sub-Saharan Africa
41081774,"Congo, Dem. Rep.",1993,Sub-Saharan Africa
42650247,"Congo, Dem. Rep.",1994,Sub-Saharan Africa
44067369,"Congo, Dem. Rep.",1995,Sub-Saharan Africa
45295039,"Congo, Dem. Rep.",1996,Sub-Saharan Africa
46369335,"Congo, Dem. Rep.",1997,Sub-Saharan Africa
47373590,"Congo, Dem. Rep.",1998,Sub-Saharan Africa
48429878,"Congo, Dem. Rep.",1999,Sub-Saharan Africa
49626200,"Congo, Dem. Rep.",2000,Sub-Saharan Africa
50989424,"Congo, Dem. Rep.",2001,Sub-Saharan Africa
52491329,"Congo, Dem. Rep.",2002,Sub-Saharan Africa
54098245,"Congo, Dem. Rep.",2003,Sub-Saharan Africa
55754885,"Congo, Dem. Rep.",2004,Sub-Saharan Africa
57420522,"Congo, Dem. Rep.",2005,Sub-Saharan Africa
59088415,"Congo, Dem. Rep.",2006,Sub-Saharan Africa
60772175,"Congo, Dem. Rep.",2007,Sub-Saharan Africa
62474901,"Congo, Dem. Rep.",2008,Sub-Saharan Africa
64204304,"Congo, Dem. Rep.",2009,Sub-Saharan Africa
65965795,"Congo, Dem. Rep.",2010,Sub-Saharan Africa
67757577,"Congo, Dem. Rep.",2011,Sub-Saharan Africa
69575394,"Congo, Dem. Rep.",2012,Sub-Saharan Africa
71419669,"Congo, Dem. Rep.",2013,Sub-Saharan Africa
1126584,"Congo, Rep.",1964,Sub-Saharan Africa
1157905,"Congo, Rep.",1965,Sub-Saharan Africa
1190402,"Congo, Rep.",1966,Sub-Saharan Africa
1224134,"Congo, Rep.",1967,Sub-Saharan Africa
1259319,"Congo, Rep.",1968,Sub-Saharan Africa
1296244,"Congo, Rep.",1969,Sub-Saharan Africa
1335088,"Congo, Rep.",1970,Sub-Saharan Africa
1375987,"Congo, Rep.",1971,Sub-Saharan Africa
1418826,"Congo, Rep.",1972,Sub-Saharan Africa
1463231,"Congo, Rep.",1973,Sub-Saharan Africa
1508675,"Congo, Rep.",1974,Sub-Saharan Africa
1554793,"Congo, Rep.",1975,Sub-Saharan Africa
1601410,"Congo, Rep.",1976,Sub-Saharan Africa
1648671,"Congo, Rep.",1977,Sub-Saharan Africa
1696922,"Congo, Rep.",1978,Sub-Saharan Africa
1746676,"Congo, Rep.",1979,Sub-Saharan Africa
1798285,"Congo, Rep.",1980,Sub-Saharan Africa
1851889,"Congo, Rep.",1981,Sub-Saharan Africa
1907330,"Congo, Rep.",1982,Sub-Saharan Africa
1964298,"Congo, Rep.",1983,Sub-Saharan Africa
2022343,"Congo, Rep.",1984,Sub-Saharan Africa
2081152,"Congo, Rep.",1985,Sub-Saharan Africa
2140687,"Congo, Rep.",1986,Sub-Saharan Africa
2201097,"Congo, Rep.",1987,Sub-Saharan Africa
2262489,"Congo, Rep.",1988,Sub-Saharan Africa
2325035,"Congo, Rep.",1989,Sub-Saharan Africa
2388902,"Congo, Rep.",1990,Sub-Saharan Africa
2453938,"Congo, Rep.",1991,Sub-Saharan Africa
2520196,"Congo, Rep.",1992,Sub-Saharan Africa
2588270,"Congo, Rep.",1993,Sub-Saharan Africa
2658948,"Congo, Rep.",1994,Sub-Saharan Africa
2732706,"Congo, Rep.",1995,Sub-Saharan Africa
2810118,"Congo, Rep.",1996,Sub-Saharan Africa
2890841,"Congo, Rep.",1997,Sub-Saharan Africa
2973329,"Congo, Rep.",1998,Sub-Saharan Africa
3055437,"Congo, Rep.",1999,Sub-Saharan Africa
3135773,"Congo, Rep.",2000,Sub-Saharan Africa
3213330,"Congo, Rep.",2001,Sub-Saharan Africa
3288923,"Congo, Rep.",2002,Sub-Saharan Africa
3365171,"Congo, Rep.",2003,Sub-Saharan Africa
3445765,"Congo, Rep.",2004,Sub-Saharan Africa
3533177,"Congo, Rep.",2005,Sub-Saharan Africa
3628561,"Congo, Rep.",2006,Sub-Saharan Africa
3730612,"Congo, Rep.",2007,Sub-Saharan Africa
3836339,"Congo, Rep.",2008,Sub-Saharan Africa
3941454,"Congo, Rep.",2009,Sub-Saharan Africa
4042899,"Congo, Rep.",2010,Sub-Saharan Africa
4139748,"Congo, Rep.",2011,Sub-Saharan Africa
4233063,"Congo, Rep.",2012,Sub-Saharan Africa
4324199,"Congo, Rep.",2013,Sub-Saharan Africa
1532386,Costa Rica,1964,America
1582482,Costa Rica,1965,America
1631723,Costa Rica,1966,America
1680257,Costa Rica,1967,America
1727922,Costa Rica,1968,America
1774614,Costa Rica,1969,America
1820379,Costa Rica,1970,America
1865039,Costa Rica,1971,America
1908913,Costa Rica,1972,America
1953184,Costa Rica,1973,America
1999429,Costa Rica,1974,America
2048812,Costa Rica,1975,America
2101762,Costa Rica,1976,America
2158073,Costa Rica,1977,America
2217457,Costa Rica,1978,America
2279362,Costa Rica,1979,America
2343345,Costa Rica,1980,America
2409385,Costa Rica,1981,America
2477549,Costa Rica,1982,America
2547555,Costa Rica,1983,America
2619058,Costa Rica,1984,America
2691778,Costa Rica,1985,America
2765657,Costa Rica,1986,America
2840660,Costa Rica,1987,America
2916566,Costa Rica,1988,America
2993136,Costa Rica,1989,America
3070240,Costa Rica,1990,America
3147451,Costa Rica,1991,America
3224849,Costa Rica,1992,America
3303412,Costa Rica,1993,America
3384498,Costa Rica,1994,America
3468918,Costa Rica,1995,America
3557095,Costa Rica,1996,America
3648263,Costa Rica,1997,America
3740578,Costa Rica,1998,America
3831504,Costa Rica,1999,America
3919180,Costa Rica,2000,America
4002946,Costa Rica,2001,America
4083197,Costa Rica,2002,America
4160438,Costa Rica,2003,America
4235605,Costa Rica,2004,America
4309413,Costa Rica,2005,America
4381820,Costa Rica,2006,America
4452608,Costa Rica,2007,America
4522124,Costa Rica,2008,America
4590790,Costa Rica,2009,America
4658887,Costa Rica,2010,America
4726575,Costa Rica,2011,America
4793725,Costa Rica,2012,America
4859957,Costa Rica,2013,America
4251345,Cote d'Ivoire,1964,Sub-Saharan Africa
4423736,Cote d'Ivoire,1965,Sub-Saharan Africa
4602382,Cote d'Ivoire,1966,Sub-Saharan Africa
4788525,Cote d'Ivoire,1967,Sub-Saharan Africa
4984378,Cote d'Ivoire,1968,Sub-Saharan Africa
5192919,Cote d'Ivoire,1969,Sub-Saharan Africa
5416416,Cote d'Ivoire,1970,Sub-Saharan Africa
5655462,Cote d'Ivoire,1971,Sub-Saharan Africa
5909848,Cote d'Ivoire,1972,Sub-Saharan Africa
6180001,Cote d'Ivoire,1973,Sub-Saharan Africa
6466158,Cote d'Ivoire,1974,Sub-Saharan Africa
6768313,Cote d'Ivoire,1975,Sub-Saharan Africa
7086257,Cote d'Ivoire,1976,Sub-Saharan Africa
7419474,Cote d'Ivoire,1977,Sub-Saharan Africa
7767109,Cote d'Ivoire,1978,Sub-Saharan Africa
8128032,Cote d'Ivoire,1979,Sub-Saharan Africa
8500985,Cote d'Ivoire,1980,Sub-Saharan Africa
8885888,Cote d'Ivoire,1981,Sub-Saharan Africa
9281593,Cote d'Ivoire,1982,Sub-Saharan Africa
9684478,Cote d'Ivoire,1983,Sub-Saharan Africa
10089976,Cote d'Ivoire,1984,Sub-Saharan Africa
10494827,Cote d'Ivoire,1985,Sub-Saharan Africa
10896269,Cote d'Ivoire,1986,Sub-Saharan Africa
11294791,Cote d'Ivoire,1987,Sub-Saharan Africa
11694318,Cote d'Ivoire,1988,Sub-Saharan Africa
12100741,Cote d'Ivoire,1989,Sub-Saharan Africa
12517730,Cote d'Ivoire,1990,Sub-Saharan Africa
12945880,Cote d'Ivoire,1991,Sub-Saharan Africa
13381799,Cote d'Ivoire,1992,Sub-Saharan Africa
13820229,Cote d'Ivoire,1993,Sub-Saharan Africa
14253952,Cote d'Ivoire,1994,Sub-Saharan Africa
14677200,Cote d'Ivoire,1995,Sub-Saharan Africa
15089912,Cote d'Ivoire,1996,Sub-Saharan Africa
15492127,Cote d'Ivoire,1997,Sub-Saharan Africa
15878555,Cote d'Ivoire,1998,Sub-Saharan Africa
16242889,Cote d'Ivoire,1999,Sub-Saharan Africa
16581653,Cote d'Ivoire,2000,Sub-Saharan Africa
16892864,Cote d'Ivoire,2001,Sub-Saharan Africa
17180649,Cote d'Ivoire,2002,Sub-Saharan Africa
17455501,Cote d'Ivoire,2003,Sub-Saharan Africa
17731840,Cote d'Ivoire,2004,Sub-Saharan Africa
18020946,Cote d'Ivoire,2005,Sub-Saharan Africa
18325979,Cote d'Ivoire,2006,Sub-Saharan Africa
18646754,Cote d'Ivoire,2007,Sub-Saharan Africa
18987007,Cote d'Ivoire,2008,Sub-Saharan Africa
19350026,Cote d'Ivoire,2009,Sub-Saharan Africa
19737800,Cote d'Ivoire,2010,Sub-Saharan Africa
20152894,Cote d'Ivoire,2011,Sub-Saharan Africa
20594615,Cote d'Ivoire,2012,Sub-Saharan Africa
21057316,Cote d'Ivoire,2013,Sub-Saharan Africa
4108808,Croatia,1964,Europe & Central Asia
4121599,Croatia,1965,Europe & Central Asia
4131926,Croatia,1966,Europe & Central Asia
4140383,Croatia,1967,Europe & Central Asia
4148285,Croatia,1968,Europe & Central Asia
4157459,Croatia,1969,Europe & Central Asia
4169217,Croatia,1970,Europe & Central Asia
4183960,Croatia,1971,Europe & Central Asia
4201302,Croatia,1972,Europe & Central Asia
4220795,Croatia,1973,Europe & Central Asia
4241669,Croatia,1974,Europe & Central Asia
4263294,Croatia,1975,Europe & Central Asia
4285523,Croatia,1976,Europe & Central Asia
4308344,Croatia,1977,Europe & Central Asia
4331398,Croatia,1978,Europe & Central Asia
4354275,Croatia,1979,Europe & Central Asia
4376608,Croatia,1980,Europe & Central Asia
4398610,Croatia,1981,Europe & Central Asia
4420169,Croatia,1982,Europe & Central Asia
4440263,Croatia,1983,Europe & Central Asia
4457579,Croatia,1984,Europe & Central Asia
4471404,Croatia,1985,Europe & Central Asia
4480137,Croatia,1986,Europe & Central Asia
4484450,Croatia,1987,Europe & Central Asia
4488560,Croatia,1988,Europe & Central Asia
4498278,Croatia,1989,Europe & Central Asia
4517200,Croatia,1990,Europe & Central Asia
4548076,Croatia,1991,Europe & Central Asia
4588173,Croatia,1992,Europe & Central Asia
4628968,Croatia,1993,Europe & Central Asia
4658613,Croatia,1994,Europe & Central Asia
4669001,Croatia,1995,Europe & Central Asia
4656706,Croatia,1996,Europe & Central Asia
4625390,Croatia,1997,Europe & Central Asia
4582742,Croatia,1998,Europe & Central Asia
4540042,Croatia,1999,Europe & Central Asia
4505533,Croatia,2000,Europe & Central Asia
4481620,Croatia,2001,Europe & Central Asia
4466013,Croatia,2002,Europe & Central Asia
4456587,Croatia,2003,Europe & Central Asia
4449522,Croatia,2004,Europe & Central Asia
4441986,Croatia,2005,Europe & Central Asia
4433791,Croatia,2006,Europe & Central Asia
4425995,Croatia,2007,Europe & Central Asia
4418387,Croatia,2008,Europe & Central Asia
4410864,Croatia,2009,Europe & Central Asia
4403330,Croatia,2010,Europe & Central Asia
4395560,Croatia,2011,Europe & Central Asia
4387376,Croatia,2012,Europe & Central Asia
4378806,Croatia,2013,Europe & Central Asia
7777606,Cuba,1964,America
7941840,Cuba,1965,America
8099779,Cuba,1966,America
8252314,Cuba,1967,America
8401476,Cuba,1968,America
8550671,Cuba,1969,America
8701886,Cuba,1970,America
8855989,Cuba,1971,America
9010586,Cuba,1972,America
9160532,Cuba,1973,America
9298895,Cuba,1974,America
9420828,Cuba,1975,America
9525242,Cuba,1976,America
9614061,Cuba,1977,America
9689324,Cuba,1978,America
9754343,Cuba,1979,America
9812223,Cuba,1980,America
9862283,Cuba,1981,America
9905577,Cuba,1982,America
9949046,Cuba,1983,America
10001593,Cuba,1984,America
10069187,Cuba,1985,America
10155111,Cuba,1986,America
10256694,Cuba,1987,America
10366500,Cuba,1988,America
10473701,Cuba,1989,America
10570328,Cuba,1990,America
